Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 66.48     58.40    58.40  5223284     0.00     0.00  p_Minus_mm_Mult_qq__FieldZp_LengthOne_OrdNomog
 13.97     70.67    12.27  1230659     0.00     0.00  p_Add_q__FieldZp_LengthOne_OrdNomog
  6.78     76.63     5.96  2991154     0.00     0.00  pp_Mult_mm__FieldZp_LengthOne_OrdGeneral
  5.63     81.58     4.95  6148163     0.00     0.00  kFindDivisibleByInT(sTObject* const&, unsigned long const*, int, sLObject const*, int)
  1.27     82.70     1.12  7200161     0.00     0.00  p_GetShortExpVector(spolyrec*, ip_sring*)
  1.18     83.74     1.04  6458724     0.00     0.00  ksReducePoly(sLObject*, sTObject*, spolyrec*, snumber**, skStrategy*)
  1.16     84.76     1.02  7204018     0.00     0.00  p_kBucketSetLm__FieldZp_LengthOne_OrdNomog
  1.07     85.70     0.94  1050808     0.00     0.00  kFindDivisibleByInS(skStrategy*, int, sLObject*, sTObject*, long)
  0.46     86.10     0.40     7026     0.00     0.01  redHomog(sLObject*, skStrategy*)
  0.44     86.49     0.39  6465742     0.00     0.00  kBucket_Minus_m_Mult_p(kBucket*, spolyrec*, spolyrec*, int*, spolyrec*)
  0.32     86.77     0.28  6876988     0.00     0.00  omFreeToPageFault
  0.25     86.99     0.22  6867709     0.00     0.00  omAllocBinFromFullPage
  0.17     87.14     0.15   697971     0.00     0.00  enterOnePairNormal(int, spolyrec*, int, int, skStrategy*, int)
  0.11     87.24     0.10   697971     0.00     0.00  p_Lcm(spolyrec*, spolyrec*, spolyrec*, ip_sring*)
  0.08     87.31     0.07    35172     0.00     0.00  omAllocBinPage
  0.07     87.37     0.06  1121567     0.00     0.00  pCompareChain(spolyrec*, spolyrec*, spolyrec*, spolyrec*, ip_sring*)
  0.06     87.42     0.05  1574676     0.00     0.00  p_Setm_TotalDegree(spolyrec*, ip_sring*)
  0.06     87.47     0.05    65634     0.00     0.00  ksCreateShortSpoly(spolyrec*, spolyrec*, ip_sring*)
  0.05     87.51     0.04     1190     0.00     0.00  pShallowCopyDelete_General(spolyrec*, ip_sring*, ip_sring*, omBin_s*)
  0.03     87.54     0.03                             kBucket_Add_q(kBucket*, spolyrec*, int*)
  0.03     87.57     0.03                             p_kBucketSetLm__FieldZp_LengthOne_OrdPomog
  0.03     87.60     0.03        1     0.03    87.69  bba(sip_sideal*, sip_sideal*, intvec*, intvec*, skStrategy*, int)
  0.02     87.62     0.02    72715     0.00     0.00  posInL110(sLObject*, int, sLObject*, skStrategy*)
  0.02     87.64     0.02     7018     0.00     0.00  kCheckSpolyCreation(sLObject*, skStrategy*, spolyrec*&, spolyrec*&)
  0.02     87.66     0.02     1182     0.00     0.00  chainCritNormal(spolyrec*, int, skStrategy*)
  0.02     87.68     0.02                             complexToStr(gmp_complex&, unsigned int, n_Procs_s*)
  0.01     87.69     0.01  7778612     0.00     0.00  ndDelete(snumber**, n_Procs_s*)
  0.01     87.70     0.01   739066     0.00     0.00  sLObject::LmExtractAndIter()
  0.01     87.71     0.01   697971     0.00     0.00  p_HasNotCF(spolyrec*, spolyrec*, ip_sring*)
  0.01     87.72     0.01    68071     0.00     0.00  p_Deg(spolyrec*, ip_sring*)
  0.01     87.73     0.01     1189     0.00     0.00  p_Norm(spolyrec*, ip_sring*)
  0.01     87.74     0.01     1182     0.00     0.00  initenterpairs(spolyrec*, int, int, int, skStrategy*, int)
  0.01     87.75     0.01     1182     0.00     0.00  posInT110(sTObject*, int, sLObject&)
  0.01     87.76     0.01      988     0.00     0.00  std::_Rb_tree<constraint, constraint, std::_Identity<constraint>, std::less<constraint>, std::allocator<constraint> >::_M_erase(std::_Rb_tree_node<constraint>*)
  0.01     87.77     0.01       53     0.00     0.00  npIsZero(snumber*, n_Procs_s*)
  0.01     87.78     0.01        2     0.01     0.01  p_GetSetmProc(ip_sring*)
  0.01     87.79     0.01                             ComputeBasis(jList*, jList*)
  0.01     87.80     0.01                             enterOnePairRing(int, spolyrec*, int, int, skStrategy*, int)
  0.01     87.81     0.01                             p_Setm_WFirstTotalDegree(spolyrec*, ip_sring*)
  0.01     87.82     0.01                             npIsMOne(snumber*, n_Procs_s*)
  0.01     87.83     0.01                             ndParDeg(snumber*, n_Procs_s*)
  0.01     87.84     0.01                             pp_Mult_mm_Noether__FieldZp_LengthOne_OrdNomog
  0.01     87.85     0.01                             pp_Mult_mm_Noether__FieldZp_LengthTwo_OrdNomogZero
  0.00     87.85     0.00  6792709     0.00     0.00  npIsOne(snumber*, n_Procs_s*)
  0.00     87.85     0.00  2484916     0.00     0.00  npNeg(snumber*, n_Procs_s*)
  0.00     87.85     0.00   955610     0.00     0.00  npDiv(snumber*, snumber*, n_Procs_s*)
  0.00     87.85     0.00   739074     0.00     0.00  p_Normalize(spolyrec*, ip_sring*)
  0.00     87.85     0.00   712016     0.00     0.00  p_Init(ip_sring*, omBin_s*)
  0.00     87.85     0.00   690953     0.00     0.00  posInL17_c(sLObject*, int, sLObject*, skStrategy*)
  0.00     87.85     0.00   372756     0.00     0.00  ndNormalize(snumber*&, n_Procs_s*)
  0.00     87.85     0.00   319882     0.00     0.00  npInit(long, n_Procs_s*)
  0.00     87.85     0.00    82896     0.00     0.00  p_Mult_nn(spolyrec*, snumber*, ip_sring*)
  0.00     87.85     0.00    72716     0.00     0.00  enterL(sLObject**, int*, int*, sLObject, int)
  0.00     87.85     0.00    65634     0.00     0.00  initEcartPairBba(sLObject*, spolyrec*, spolyrec*, int, int)
  0.00     87.85     0.00    65634     0.00     0.00  nNew(snumber**)
  0.00     87.85     0.00    58616     0.00     0.00  deleteInL(sLObject*, int*, int, skStrategy*)
  0.00     87.85     0.00    29194     0.00     0.00  npMult(snumber*, snumber*, n_Procs_s*)
  0.00     87.85     0.00    24875     0.00     0.00  omFreeBinPages
  0.00     87.85     0.00    14597     0.00     0.00  npEqual(snumber*, snumber*, n_Procs_s*)
  0.00     87.85     0.00    14094     0.00     0.00  p_Setm_Dummy(spolyrec*, ip_sring*)
  0.00     87.85     0.00    14036     0.00     0.00  ndCopy(snumber*, n_Procs_s*)
  0.00     87.85     0.00     8208     0.00     0.00  kBucketInit(kBucket*, spolyrec*, int)
  0.00     87.85     0.00     8208     0.00     0.00  kBucketCreate(ip_sring*)
  0.00     87.85     0.00     8208     0.00     0.00  kBucketDestroy(kBucket**)
  0.00     87.85     0.00     7018     0.00     0.00  ksCheckCoeff(snumber**, snumber**, n_Procs_s*)
  0.00     87.85     0.00     7018     0.00     0.00  ksCreateSpoly(sLObject*, spolyrec*, int, ip_sring*, spolyrec*, spolyrec*, sTObject**)
  0.00     87.85     0.00     7018     0.00     0.00  ndGcd(snumber*, snumber*, n_Procs_s*)
  0.00     87.85     0.00     3391     0.00     0.00  operator delete[](void*)
  0.00     87.85     0.00     3391     0.00     0.00  operator new[](unsigned long)
  0.00     87.85     0.00     3147     0.00     0.00  constraint::~constraint()
  0.00     87.85     0.00     3098     0.00     0.00  operator delete(void*)
  0.00     87.85     0.00     3098     0.00     0.00  operator new(unsigned long)
  0.00     87.85     0.00     3066     0.00     0.00  constraint::constraint(constraint const&)
  0.00     87.85     0.00     2696     0.00     0.00  kBucketCanonicalize(kBucket*)
  0.00     87.85     0.00     2696     0.00     0.00  p_LmInit(spolyrec*, ip_sring*, ip_sring*, omBin_s*)
  0.00     87.85     0.00     1217     0.00     0.00  operator<(ray const&, ray const&)
  0.00     87.85     0.00     1190     0.00     0.00  initEcartBBA(sLObject*)
  0.00     87.85     0.00     1182     0.00     0.00  enterpairs(spolyrec*, int, int, int, skStrategy*, int)
  0.00     87.85     0.00     1182     0.00     0.00  redtailBba(sLObject*, int, skStrategy*, int, int)
  0.00     87.85     0.00     1182     0.00     0.00  kBucketClear(kBucket*, spolyrec**, int*)
  0.00     87.85     0.00     1182     0.00     0.00  kMergeBintoL(skStrategy*)
  0.00     87.85     0.00     1182     0.00     0.00  p_GetMaxExpP(spolyrec*, ip_sring*)
  0.00     87.85     0.00     1182     0.00     0.00  enterT(sLObject, skStrategy*, int)
  0.00     87.85     0.00     1182     0.00     0.00  posInS(skStrategy*, int, spolyrec*, int)
  0.00     87.85     0.00     1182     0.00     0.00  posInT15(sTObject*, int, sLObject&)
  0.00     87.85     0.00     1182     0.00     0.00  enterSBba(sLObject, int, skStrategy*, int)
  0.00     87.85     0.00     1182     0.00     0.00  sLObject::GetP(omBin_s*)
  0.00     87.85     0.00     1182     0.00     0.00  sTObject::GetLmCurrRing()
  0.00     87.85     0.00      590     0.00     0.00  operator==(constraint const&, constraint const&)
  0.00     87.85     0.00      590     0.00     0.00  operator<(constraint const&, constraint const&)
  0.00     87.85     0.00      450     0.00     0.00  operator<(edge const&, edge const&)
  0.00     87.85     0.00      342     0.00     0.00  omReallocSizeFromSystem
  0.00     87.85     0.00      339     0.00     0.00  r_IsRingVar(char const*, char**, int)
  0.00     87.85     0.00      338     0.00     0.00  copy_string(lp_modes)
  0.00     87.85     0.00      328     0.00     0.00  omDoRealloc
  0.00     87.85     0.00      322     0.00     0.00  omReallocLarge
  0.00     87.85     0.00      234     0.00     0.00  ray::~ray()
  0.00     87.85     0.00      228     0.00     0.00  iiArithFindCmd(char const*)
  0.00     87.85     0.00      225     0.00     0.00  eati(char const*, int*)
  0.00     87.85     0.00      225     0.00     0.00  ray::ray(ray const&)
  0.00     87.85     0.00      225     0.00     0.00  std::_Rb_tree<constraint, constraint, std::_Identity<constraint>, std::less<constraint>, std::allocator<constraint> >::_M_copy(std::_Rb_tree_node<constraint> const*, std::_Rb_tree_node<constraint>*)
  0.00     87.85     0.00      166     0.00     0.00  yylex(MYYSTYPE*)
  0.00     87.85     0.00      166     0.00     0.00  _omReallocSize
  0.00     87.85     0.00      144     0.00     0.00  ray::add_active_constraint(constraint const&, bool)
  0.00     87.85     0.00      144     0.00     0.00  std::_Rb_tree<constraint, constraint, std::_Identity<constraint>, std::less<constraint>, std::allocator<constraint> >::_M_insert_unique(constraint const&)
  0.00     87.85     0.00      140     0.00     0.00  _omRealloc0Size
  0.00     87.85     0.00      133     0.00     0.00  sleftv::Typ()
  0.00     87.85     0.00      130     0.00     0.00  omRealloc0Large
  0.00     87.85     0.00      122     0.00     0.00  sleftv::CleanUp(ip_sring*)
  0.00     87.85     0.00      113     0.00     0.00  iiCheckRing(int)
  0.00     87.85     0.00      109     0.00     0.00  sleftv::CopyD(int)
  0.00     87.85     0.00       81     0.00     0.00  constraint::constraint(unsigned long, long*)
  0.00     87.85     0.00       81     0.00     0.00  operator!=(ray const&, ray const&)
  0.00     87.85     0.00       72     0.00     0.00  edge::edge(ray const&, ray const&)
  0.00     87.85     0.00       72     0.00     0.00  std::_Rb_tree<edge, edge, std::_Identity<edge>, std::less<edge>, std::allocator<edge> >::_M_insert_unique(edge const&)
  0.00     87.85     0.00       71     0.00     0.00  ggetid(char const*)
  0.00     87.85     0.00       71     0.00     0.00  syMake(sleftv*, char const*, idrec*)
  0.00     87.85     0.00       71     0.00     0.00  omAllocFromSystem
  0.00     87.85     0.00       57     0.00     0.00  IsCmd(char const*, int&)
